Entity Status,Name,Unique Entity ID,Expiration Date,NAICS Code,Address Line 1,Address Line 2,City,State/Province,Zip Code,Source
Active,FCG INC,UC6ATRPNJGR2,11/8/23,334418,222 VALLEY RD,,WARRINGTON,PA,18976,
Active,Rocal Corporation,JJ59L1HGAD49,11/17/23,326199,150 Franklin Dr,,Warrington,PA,18976,
Inactive,"Vishay Intertechnology, Inc.",E8JUS56XTDY3,2/13/23,334413,63 Lancaster Ave,,Malvern,PA,19355,
Active,INSACO INC,QSGDZQ813VB7,6/8/24,327110,1365 CANARY RD,,QUAKERTOWN,PA,18951,
Inactive,"P.W.I., Inc.",XXYQAPK6KEU8,3/5/23,238290,211 Lincoln Way W,,New Oxford,PA,17350,
Active,"MOTION INDUSTRIES, INC.",NP1RLCK1EN29,5/21/24,325520,301 HENDERSON DRIVE,,SHARON HILL,PA,19079,
Inactive,"FREEMAN, THERA",ZMQLV9DBH986,7/1/14,334118,4225 PEACH ST,,ERIE,PA,16509,
Inactive,"SMYERS, EDWARD C CO",L94AP8HYL6P7,9/13/14,221330,223 FORT PITT BLVD,,PITTSBURGH,PA,15222,
Active,TRIJAY SYSTEMS INC,FWNGSKGWZCN9,1/4/24,334513,10 MAPLE AVE,,LINE LEXINGTON,PA,18932,
Inactive,"CYOPTICS, INC.",L3NJUYQEMDE1,3/15/14,334413,9999 HAMILTON BLVD,,BREINIGSVILLE,PA,18031,
Inactive,"Ugi Hvac Services, Inc. ",DHXLM7BJPAB3,11/5/14,238220,100 Kachel Blvd ,,Reading,PA,19607,
Inactive,"COAX, INC",HFBLMALA8WB5,2/25/13,334419,76 WATER ST,,GLEN ROCK,PA,17327,
Inactive,XENSOR CORPORATION,C11EA5LT26X3,12/13/06,334513,4000 BRIDGE ST,,DREXEL HILL,PA,19026,
Active,MICHAELOFF CONSULTING LLC,J4DEUHPSMGD4,7/6/24,334418,4328 SPRUCE ST,,PHILADELPHIA,PA,19104,
Inactive,TLC WHOLESALE AND SUPPLY LLC,EFACCYQKYVX8,2/27/22,311999,3508 COTTMAN AVE,,PHILADELPHIA,PA,19149,
Inactive,Hellbender Inc.,C55XX1EW6A56,11/10/22,334511,620 William Pitt Way,,Pittsburgh,PA,15238,
Inactive,HRP METALS INC,N6SPPDD2MQK8,4/8/13,325510,207 OVERLOOK DR STE 8,,SEWICKLEY,PA,15143,
Active,Cobham Advanced Electronic Solutions Inc. ,MMA7H4NEMCT9,12/12/23,334220,305 Richardson Rd ,,Lansdale,PA,19446,
Inactive,WORLD VIDEO SALES CO INC,M8NJA3MFUGW7,5/7/11,334220,625 HOFFMANSVILLE RD STE 3,,BECHTELSVILLE,PA,19505,
Active,"Northwind Engineering, LLC",P2NVQ79L5QM5,6/20/24,212319,105 MAIN ST,,SHELOCTA,PA,15774,
Inactive,"CELERITY INTEGRATED SERVICES, INC.",LKC7WVNL6HU1,4/21/13,237130,2083 QUAKER POINTE DR,,QUAKERTOWN,PA,18951,
Inactive,PASADENA SCIENTIFIC INC,KTW1DHNJFEM7,4/8/15,334511,5125 PINE VIEW DR,,GLEN ROCK,PA,17327,
Inactive,CROWDER JR. COMPANY,T7PPDEN2CXU6,6/16/18,221122,2184 INDUSTRIAL DR,,BETHLEHEM,PA,18017,
Active,KEYSER CONSULTING GROUP,DL5BLN9MK4C3,11/5/23,238210,29 W BROADWAY,,GETTYSBURG,PA,17325,
Active,CLARKE ANALYTICAL INSTRUMENTS,US8JDSAAJ713,10/20/23,334511,110 PINE TREE RD,,WAYNE,PA,19087,
Active,"WORLD ELECTRONICS SALES AND SERVICE, INC.",G6HKCNRSLW86,1/27/24,334412,3000 KUTZTOWN RD,,READING,PA,19605,
Inactive,LASERMED LLC,MC36HFDPXB31,1/6/16,334510,1011 BROOKSIDE RD STE 155I,,ALLENTOWN,PA,18106,
Inactive,"Field Diagnostic Services, Inc.",N4FDNJGS7N11,5/16/17,334512,10 CANAL ST Ste 344,,BRISTOL,PA,19007,
Active,MACCABEE INDUSTRIAL INC,HXLJSPAF4T24,1/31/24,236210,113 WATER ST,,BELLE VERNON,PA,15012,
Inactive,BEST SOLUTIONS MEDICAL SYSTEMS LLC,D5NEG7FMFNU4,12/27/14,325992,516 HENRIETTA ST,,PHILIPSBURG,PA,16866,
Active,"Gibbs & Cox, Inc.",EVXND6U7LSA3,10/17/23,334511,1 Crescent Dr Ste 301,,Philadelphia,PA,19103,
Inactive,Raytech USA Inc ,N965LYBHM425,10/16/21,334515,118 S 2ND ST ,,PERKASIE,PA,18944,
Inactive,Flam & Russell Inc ,C2FRN3L6E5T3,10/27/17,334210,201 Witmer Rd ,,Horsham,PA,19044,
Active,"ARCHITECTURAL TESTING, INC.",MFA3FBUVUMM8,10/13/23,334519,130 DERRY CT,,YORK,PA,17402,
Inactive,AEC Communit-eStore LLC ,NNKVAKJWB415,1/23/16,315220,101 BRILLIANT AVE # 200 ,,PITTSBURGH,PA,15215,
Active,M DAVIS & SONS INC,PCXBR96SRZL4,12/19/23,238120,227 DAYLESFORD CT,,KENNETT SQ,PA,19348,
Inactive,STANDARD SCIENTIFIC LLC,ECJMPERX9EX6,3/6/18,334514,105 WEST BUTTERNUT RD,,HELLERTOWN,PA,18055,
Inactive,MEDISURG RESEARCH MGT,HGJVRA7NKAL3,6/23/17,334510,100 W FORNACE ST,,NORRISTOWN,PA,19401,
Active,POWER HOUSE MANUFACTURING INC.,YM9EYHG6LFZ4,4/12/24,334413,1490 WHITESTOWN ROAD EXT,,PROSPECT,PA,16052,
Inactive,Basers Engineering LLC ,KEGWN5NREAF4,11/11/17,334220,1114 Karen Drive ,,CARLISLE,PA,17013,
Inactive,"DTG Technical Services, Inc.",FFGQLJ4ECNS8,11/2/13,213112,1531 Fernleaf St,,Pittsburgh,PA,15210,
Inactive,"AFFINITON, LLC",G8K4HX5MGVQ6,3/15/16,325413,49 E 4TH ST STE 201,,WILLIAMSPORT,PA,17701,
Active,"COMPONENT ENTERPRISES COMPANY, INC.",LDWFKEWJTD11,1/16/24,334417,235 E PENN ST,,NORRISTOWN,PA,19401,
Active,"Wheeler Fleet Solutions, Co.",HPFBFKWZABG4,12/12/23,213113,384 Drum Ave,,Somerset,PA,15501,
Active,MICROWAVE PHOTONIC SYSTEMS INC,HEV9SLMMYXF3,2/13/24,334220,1155 PHOENIXVILLE PIKE,STE 106,WEST CHESTER,PA,19380,
Active,Olympus America Inc,FLWQVLFLMEL3,3/1/24,334510,3500 Corporate Pkwy,,Center Valley,PA,18034,
Inactive,"SCHULTHEIS AUTOMATION CONTROL SYSTEMS, INC.",JHHLG21JFYG1,3/3/16,238210,322 STATE ROUTE 711,,JONES MILLS,PA,15646,
Active,MANNCORP INC,MVZ7JK1BDQM1,6/28/24,334418,3615 DAVISVILLE RD,,HATBORO,PA,19040,
Active,VISTACOM INC,XES2P8ZCYAC4,1/26/24,238210,1902 VULTEE ST,,ALLENTOWN,PA,18103,
Active,IRVIN H GEIGER ASSOCIATES INC,H2DVSKJCBEM4,11/16/23,326199,3801 LOCUST LN,,HARRISBURG,PA,17109,
Inactive,ALLEN-MYLAND INC,EBKLFNT37YZ5,3/2/18,334112,515 ABBOTT DR,,BROOMALL,PA,19008,
Inactive,"Ronal Tool Company, Inc. ",LRNNET7PLZ57,12/29/21,332710,99 Hokes Mill Rd ,,York,PA,17404,
Active,STRESSTECH INC.,J47MSU4MU6U6,1/12/24,334513,538 ALPHA DR,,PITTSBURGH,PA,15238,
Inactive,LEHMAN SCIENTIFIC LLC,K2MJMXMF9E39,7/18/14,333314,85 SURREY DR,,WRIGHTSVILLE,PA,17368,
Active,"Eastern Controls, Inc. Of Pa.",HN48K7ASGB91,3/28/24,332911,3866 Providence Rd,,Edgemont,PA,19028,
Active,ARIES ELECTRONICS INC,LKBMKHK8LTW3,12/14/23,334417,2609 BARTRAM RD,,BRISTOL,PA,19007,
Inactive,"Accrotool, Inc.",FYMZTJEJAME7,10/3/21,332119,401 Hunt Valley Rd,,New Kensington,PA,15068,
Active,Amplifier Research Corp.,QCLRARCZUTW5,2/24/24,334220,160 Schoolhouse Rd,,Souderton,PA,18964,
Inactive,Waco Filters Corporation,MFGPJYH3NT93,6/13/18,322299,2546 General Armistead Ave,,Norristown,PA,19403,
Inactive,"Summit Sales & Marketing, Inc.",NNV6LDJBZDJ7,1/4/22,334310,224 BYERS RD,,CHESTER SPRINGS,PA,19425,
Active,TONER CABLE EQUIPMENT INC,L2TDCAJNBFY4,2/21/24,334220,969 HORSHAM RD,,HORSHAM,PA,19044,
Inactive,High Energy Corp.,H1F5DC4PN4R6,6/24/22,334416,4480 Lower Valley Rd,,Parkesburg,PA,19365,
Active,"Datum Filing Systems, Inc. ",GYCKBTGQ82Q3,12/6/23,238390,89 Church Rd ,,Emigsville,PA,17318,
Active,PH Tool LLC,K9VMHL2MG5X7,12/21/23,334519,6021 Easton Rd,,Pipersville,PA,18947,
Inactive,RAY-GUARD INTERNATIONAL LTD,W4KSEWSKZAK5,7/30/15,236118,"280 N HANOVER STREET, REAR ENTRANCE",,POTTSTOWN,PA,19464,
Active,BROMILEY JOHN R CO INC,SVH7NTX45ZK3,3/5/24,332710,105 BRISTOL RD,,CHALFONT,PA,18914,
Active,ST ENGINEERING AETHON INC,RF67H9E81QZ7,5/25/24,236220,200 BUSINESS CENTER DR,,CRAFTON,PA,15205,
Inactive,"NTOUCH, INC.",KWTADHM5K2H9,4/13/17,334111,23 BUTTONWOOD AVE,,WASHINGTON,PA,15301,
Inactive,"PHOENIX X-RAY SYSTEMS & SERVICES, INC",W3RNRBSRWSH3,11/3/15,333511,50 INDUSTRIAL PARK RD,,LEWISTOWN,PA,17044,
Inactive,SENSEVERE LLC ,CG1DL1MCUDF8,8/14/19,334513,5000 FORBES AVE ,,PITTSBURGH,PA,15213,
Active,COMBUSTION SERVICES INC,YGRHC6N4LFF5,3/30/24,238220,10 MARIANNE DR,,YORK,PA,17406,
Inactive,TEST EQUIPMENT SALES CO INC,JVQ6K1H63323,7/25/17,221210,165 FAIRWAY DR,,HARLEYSVILLE,PA,19438,
Inactive,"ADAMS, WILLIAMS J JR",F9TFGH8CZ386,6/14/19,334513,200 W SECOND  ST,,ESSINGTON,PA,19029,
Active,MATERIALS SCIENCES LLC,GKJZWMKKWWX4,5/29/24,334511,135 ROCK RD,,HORSHAM,PA,19044,
Active,DANIEL H WAGNER ASSOCIATES INC,S699ATX27YK4,3/14/24,334511,559 W UWCHLAN AVE,STE 140,EXTON,PA,19341,
Inactive,American Cable Company,FNX2EZHRQGX8,12/14/21,332999,1200 E Erie Ave,,Philadelphia,PA,19124,
Inactive,"Kitron, Inc.",T1Z3CUGGQR48,1/29/20,333314,160 Jari Dr,,Johnstown,PA,15904,
Inactive,"RUBITECTION, INC.",EEF1D2RG9HG3,4/23/23,326199,1715 HAYS ST,,PITTSBURGH,PA,15218,
Active,VERDER SCIENTIFIC INC,EF5LNT291Q33,2/23/24,334516,11 PENNS TRL,,NEWTOWN,PA,18940,
Inactive,SCIENTIFIC PITTSBURGH,NDNPJB9WRFN5,7/19/17,334513,130 WABASH ST STE 301,,PITTSBURGH,PA,15220,
Inactive,"Raycom Electronics, Inc",HF3DXUTKN949,10/8/21,334416,1 Raycom Rd,,Dover,PA,17315,
Active,GENTEX CORPORATION,QZ9NQ1EM31T3,12/2/23,314999,324 MAIN ST,,SIMPSON,PA,18407,
Active,SciCast International Incorporated,YUBVM7PMWES9,4/16/24,331523,650 Rte 100 N,,Bechtelsville,PA,19505,
Inactive,"AMETEK, Inc.",KVSHBVQNC2A5,2/24/23,334513,205 Keith Valley Road,,Horsham,PA,19044,
Active,"Microsonic, Inc",E8WHNMK654H9,4/26/24,334310,2960 Duss Ave,,Ambridge,PA,15003,
Inactive,"FLIGHT SYSTEMS, INC.",M5HLQWD7NFJ8,3/13/15,334418,505 FISHING CREEK RD,,LEWISBERRY,PA,17339,
Inactive,"DYER COMPANY, THE",K7HEAJCZ6BJ4,2/10/15,334513,1500 MCGOVERNVILLE RD,,LANCASTER,PA,17601,
Active,ALL FABRICATIONS INC,KGKWAQBXKNA8,1/29/24,325211,3407 N 6TH ST,,HARRISBURG,PA,17110,
Active,ROWLAND CO,GQXJEN6C6W89,10/24/23,333613,4900 N 20TH ST,,PHILADELPHIA,PA,19144,
Inactive,MOOG INC.,EZL7KDSC19N6,11/26/22,332912,750 W SPROUL RD,,SPRINGFIELD,PA,19064,
Inactive,"Belar Electronics Laboratory, Inc.",CBQ9MMFF1HH3,7/31/22,334220,1140 McDermott Drive Ste 105,,West Chester,PA,19380,
Inactive,"Oliver Sprinkler Co., Inc, The",M6J7RLNPPX95,5/27/20,238210,501 Feheley Dr,,King Of Prussia,PA,19406,
Active,"PINESTAR TECHNOLOGY, INC.",XZCCJEB7HJW9,6/17/24,332313,1007 E JAMESTOWN RD,,JAMESTOWN,PA,16134,
Inactive,"Nicomatic, L.P.",SH5RP2JTGUY9,1/8/23,334417,450 Progress Dr,,Horsham,PA,19044,
Inactive,D & R MURPHY COMPANY,FGTJP51D3LN8,1/27/22,332410,341 WYOMING AVE STE 22,,WEST PITTSTON,PA,18643,
Inactive,"Lightner Electronics, Inc.",PP6FG9DZ8Q56,3/17/20,334220,1771Beaver Dam Rd,,Claysburg,PA,16625,
Inactive,"Agentase, LLC",SW2JX7CHDT85,12/27/21,325413,2240 William Pitt Way,,Pittsburgh,PA,15238,
Inactive,PARA SCIENTIFIC CO.,HT74ENNM23R5,10/18/20,325412,297 CEDAR LN,,FAIRLESS HILLS,PA,19030,
Active,RICOH USA INC,K8NNV2MH8AE6,1/27/24,322230,300 EAGLEVIEW BLVD,STE 200,EXTON,PA,19341,
Inactive,H & H COMMUNICATIONS INC,NJK4AXLCAKM1,9/15/15,237130,198A HOOKSTOWN GRADE RD,,CLINTON,PA,15026,
Inactive,LOCKHEED MARTIN CORPORATION,W6DKWDMKKLY5,1/27/22,334511,"BUILDING 13, ADVANTAGE AVE",,CHAMBERSBURG,PA,17201,
Inactive,"CUSTOM ULTRASONICS, INCORPORATED",N748RLYN7FW1,10/17/22,334510,144 RAILROAD DR,,WARMINSTER,PA,18974,
Active,FLIGHT SOURCE INC,CNMJPLB7APE8,12/19/23,327910,140 RUTTER RD,,HALIFAX,PA,17032,
Inactive,INFOTECH SOLUTIONS INC,FMJMQ4P49AU3,12/17/14,334614,4624 WINDBROOK DR,,MURRYSVILLE,PA,15668,
Active,"VISHAY PRECISION GROUP, INC.",XV7MNKF4D875,11/10/23,334416,SUITE 150,"3, GREAT VALLEY PARKWAY",MALVERN,PA,19355,
Active,"Moberg Research, Inc.",J7NQSA1WCKP1,9/29/23,334510,224 S Maple Way,,Ambler,PA,19002,
Active,STELLAR MACHINE INCORPORATED,LPYKJAJEEPK1,1/10/24,326121,250 RAILROAD ST,,NANTICOKE,PA,18634,
Inactive,COMTROL CORPORATION,VFGPU8PJLJN3,9/27/16,221122,500 PENNSYLVANIA AVE,,IRWIN,PA,15642,
Active,NETCONNEX COMPUTER CABLE LLC,FHLGFYEWVY33,1/10/24,332618,550 COMMERCE DR,,QUAKERTOWN,PA,18951,
Active,"AUDIO TECHNOLOGY SPECIALISTS, LLC",F88FVW15G7C3,3/22/24,334510,1275 SOLOMON RUN RD,,JOHNSTOWN,PA,15904,
Active,TEXOLVE DIGITAL INC,W9CWDNTJ23J8,11/22/23,238990,201 ANN ST,STE A,OAKMONT,PA,15139,
Inactive,"QUALITY COPY PRODUCTS, INC.",K2P4CLHYJGN5,8/19/20,334112,2699 S QUEEN ST,,YORK,PA,17402,
Active,NDT INTERNATIONAL INC,KKEBWBP15KL8,2/16/24,334519,711 S CREEK RD,,WEST CHESTER,PA,19382,
Active,LORANGER INTERNATIONAL CORP,GQCLUZBA9VW2,7/5/24,334412,817 4TH AVE,,WARREN,PA,16365,
Active,M3T CORPORATION,NVN2DFEK39K5,12/23/23,238210,2250 BUMBLE BEE HOLLOW RD,,MECHANICSBURG,PA,17055,
Inactive,"CAROUSEL MEDICAL SYSTEMS, INC.",HAF1JFJNHJN5,4/23/16,333922,7343 SURF DR,,KEMPTON,PA,19529,
Inactive,Dual Core LLC,LDV4NQPEHQL5,6/11/20,323111,148 E Stiegel St,,Manheim,PA,17545,
Inactive,"SUSSEX WIRE, INC.",Y6WMG48WXJX7,7/11/18,334413,4 DANFORTH DR,,EASTON,PA,18045,
Inactive,Yis Inc ,LBJHSNB2N2K4,2/22/18,334515,1100 N HARTLEY ST ,,YORK,PA,17404,
Active,MRA INC,C6WGLL2TCLC9,12/13/23,334310,1480 WASHINGTON RD,,WASHINGTON,PA,15301,
Active,WESTINGHOUSE ELECTRIC COMPANY LLC,YGECGVM8AR51,4/27/24,333413,1000 WESTINGHOUSE DR,,CRANBERRY TOWNSHIP,PA,16066,
Active,EVOQUA WATER TECHNOLOGIES LLC,L7DLLNMJYE57,3/26/24,334416,4450 TOWNSHIP LINE RD,,SKIPPACK,PA,19474,
Active,STRUCTURE PROBE INC,FX6YECLGJ3D4,2/16/24,334516,206 GARFIELD AVE,,WEST CHESTER,PA,19380,
Active,DONTECH INC,TSWLCNWPN8X8,3/21/24,326199,700 AIRPORT BLVD,,DOYLESTOWN,PA,18902,
Inactive,"INDUSTRIAL NAMEPLATE, INC",E3JZWF1KJMF6,11/9/17,323111,29 INDIAN DR,,WARMINSTER,PA,18974,
Inactive,"PACE ENVIRONMENTAL PRODUCTS, INC.",HWFCWLLM6ML4,2/28/15,334513,5240 W COPLAY RD,,WHITEHALL,PA,18052,
Active,APPLIED ENERGY SYSTEMS INC,X7SLTSGCE8M5,2/9/24,333242,180 QUAKER LN,,MALVERN,PA,19355,
Active,"MEASUREMENT INSTRUMENTS EAST, INC.",LNTATJ3MAJE4,3/29/24,334111,124 E Market Street,,BLAIRSVILLE,PA,15717,
Inactive,Dean Leonhard Instrument Company,J91YDQWML6J5,2/2/22,333314,611 SPRING ST,,MARS,PA,16046,
Inactive,S. Walter Packaging Corp.,XED4DDMTFNA9,7/16/22,322121,1210 NORTHBROOK DR,,TREVOSE,PA,19053,
Active,INDEPENDENT HARDWARE INC,N9BNPQCT4HN5,4/19/24,236210,14 S FRONT ST,,PHILADELPHIA,PA,19106,
Inactive,E P M CORPORATION,DLV1DME8AYF8,11/7/22,313310,7337 Footemill Rd,,Erie,PA,16509,
Active,"Corry Micronics, LLC",YEWLB452RKL3,4/25/24,332510,One Plastics Rd Ste 1A,,Corry,PA,16407,
Inactive,"MEDRAD, INC.",HC7UTN8VR227,8/19/14,334510,100 GLOBAL VIEW DR,,WARRENDALE,PA,15086,
Active,"A.M. COMMUNICATIONS SOLUTIONS, INC.",XJRCWDHQMDJ1,2/17/24,238210,1 N MAIN ST,,DOVER,PA,17315,
Active,PRECISION SALES & EQUIPMENT INC,HGKXTHDCNJB9,3/21/24,334519,38 BISHOP HOLLOW RD STE 140,,NEWTOWN SQUARE,PA,19073,
Inactive,Great Valley Systems Corporation ,D5SVHR22KL84,11/8/16,334290,402 Gordon Dr Ste C ,,Exton,PA,19341,
Inactive,"MNM Group, Inc., The ",QTB6EAK5EES6,7/18/15,237990,2421 Wyandotte Rd Ste A ,,Willow Grove,PA,19090,
Active,BIO/DATA CORP,KHFFLKNA5LS2,4/26/24,325413,155 GIBRALTAR RD,,HORSHAM,PA,19044,
Active,"PIONEER ENERGY PRODUCTS, LLC",LW5GC4LSGMA5,11/8/23,237130,671 COLBERT AVE,,OIL CITY,PA,16301,
